1,162,1168,0
1,270,1040,1
1,445,1165,3
1,480,1201,4
1,445,1129,5
1,446,1081,6
1,482,1092,7
1,624,1096,8
1,939,1095,9
1,558,856,10
1,240,862,11
1,841,805,13
1,982,837,14
1,349,674,16
1,420,638,17
1,422,598,19
1,423,560,20
1,564,568,21
1,564,537,22
1,565,507,23
1,281,551,24
1,244,617,25
1,636,476,26
1,742,562,27
1,849,456,28
1,747,299,29
1,748,245,30
1,748,211,31
1,751,166,32
1,642,207,33
1,610,144,34
1,1032,132,35
1,397,30,36
1,349,650,37
2,982,824,14
2,161,1183,0
2,270,1048,1
2,444,1122,5
2,444,1162,3
2,446,1077,6
2,480,1068,7
2,480,1177,4
2,623,1079,8
2,557,842,10
2,843,796,13
2,740,549,27
2,849,438,28
2,638,461,26
2,564,591,21
2,565,555,22
2,565,525,23
2,421,612,19
2,420,650,17
2,424,575,20
2,281,560,24
2,243,629,25
2,239,870,11
2,751,154,32
2,751,201,31
2,749,234,30
2,748,287,29
2,643,185,33
2,608,134,34
2,1033,113,35
2,398,13,36
2,348,630,37
2,349,656,16
3,161,1201,0
3,269,1056,1
3,446,1129,5
3,444,1167,3
3,446,1082,6
3,478,1161,4
3,480,1047,7
3,622,1066,8
3,981,812,14
3,843,788,13
3,558,828,10
3,237,878,11
3,243,640,25
3,280,576,24
3,347,617,37
3,347,638,16
3,420,659,17
3,420,621,19
3,421,581,20
3,564,574,22
3,565,608,21
3,564,546,23
3,638,457,26
3,740,540,27
3,850,423,28
3,748,280,29
3,749,198,31
3,751,150,32
3,645,168,33
3,609,119,34
3,1034,99,35
3,749,230,30
4,161,1219,0
4,270,1065,1
4,479,1144,4
4,447,1163,3
4,483,1022,7
4,622,1051,8
4,557,816,10
4,238,893,11
4,243,652,25
4,281,586,24
4,351,599,37
4,350,624,16
4,420,630,19
4,420,672,17
4,423,595,20
4,562,626,21
4,563,596,22
4,565,562,23
4,743,533,27
4,637,454,26
4,842,765,13
4,849,402,28
4,748,273,29
4,748,186,31
4,750,226,30
4,751,147,32
4,644,145,33
4,609,110,34
4,982,792,14
4,1033,81,35
4,447,1082,6
4,446,1129,5
5,1034,67,35
5,983,779,14
5,844,746,13
5,851,389,28
5,747,269,29
5,748,223,30
5,749,186,31
5,751,145,32
5,645,127,33
5,610,106,34
5,637,441,26
5,741,521,27
5,563,645,21
5,562,612,22
5,564,581,23
5,558,801,10
5,623,1038,8
5,482,1008,7
5,479,1131,4
5,421,606,20
5,419,643,19
5,420,687,17
5,446,1087,6
5,445,1134,5
5,446,1165,3
5,350,584,37
5,350,606,16
5,279,600,24
5,268,1071,1
5,160,1235,0
5,236,916,11
5,241,655,25
6,161,1248,0
6,269,1077,1
6,239,933,11
6,448,1094,6
6,483,1122,4
6,447,1141,5
6,446,1173,3
6,559,782,10
6,562,661,21
6,562,631,22
6,565,600,23
6,418,660,19
6,419,707,17
6,420,622,20
6,351,590,16
6,349,564,37
6,278,609,24
6,244,660,25
6,744,511,27
6,843,733,13
6,625,1019,8
6,484,982,7
6,637,423,26
6,849,372,28
6,747,262,29
6,747,214,30
6,749,179,31
6,750,138,32
6,645,105,33
6,610,99,34
6,1034,47,35
6,984,770,14
7,162,1264,0
7,268,1083,1
7,238,952,11
7,485,972,7
7,484,1107,4
7,448,1104,6
7,447,1182,3
7,445,1149,5
7,627,1001,8
7,560,769,10
7,419,722,17
7,419,680,19
7,421,638,20
7,245,675,25
7,278,622,24
7,351,551,37
7,350,575,16
7,562,684,21
7,561,651,22
7,564,620,23
