Frame,Position Y,Position X,ID,Time,Canal,Velocidad,Dir_vel
1,5.902,459.902,1,0.34,0,12.041979095652803,-0.07393903765794083
1,203.846,475.79200000000003,40,0.34,1,16.07006002366449,3.1093457711545387
1,204.3,495.76800000000003,41,0.34,1,15.788780279879322,-2.6779450445889745
1,208.386,434.024,42,0.34,1,7.5650365754125914,2.8198420991931448
1,212.018,611.9920000000001,45,0.34,1,1.914670846870902,-0.32175055439664013
1,215.196,527.548,46,0.34,1,14.106041395769044,0.043450895391529305
1,219.73600000000002,309.17400000000004,47,0.34,1,10.020314019158324,-2.9304993203670473
1,219.73600000000002,441.742,49,0.34,1,10.46764558877419,-2.9275319700259734
1,221.098,476.7,50,0.34,1,0.638223615623654,2.3561944901923604
1,252.424,549.34,51,0.34,2,14.91997011070913,-2.7744188197715727
1,250.154,563.868,52,0.34,2,15.343936381709772,2.8706458032513718
1,251.97,622.434,53,0.34,2,8.762510416383915,1.3734007669450128
1,260.142,565.684,54,0.34,2,10.389527738931394,2.356194490192346
1,261.05,175.698,55,0.34,2,17.652392993809148,2.8198420991931523
1,265.59000000000003,547.9780000000001,56,0.34,2,11.28230616302189,3.1016139664665023
1,267.86,363.654,58,0.34,2,16.55695247085734,-0.1911844595970128
1,268.314,513.02,59,0.34,2,6.784410095209985,0.24497866312686414
1,301.456,590.2,60,0.34,3,14.755255182543541,-0.5349550737860963
1,466.712,399.52000000000004,75,0.34,4,9.025844930417524,-2.714965160462911
1,462.172,466.25800000000004,74,0.34,4,1.3538767395625906,-2.8198420991931425
1,460.81,572.494,73,0.34,4,5.582176801283536,0.9129077216126819
1,451.276,540.714,72,0.34,4,11.28230616302189,0.528074448426361
1,203.846,370.918,39,0.34,1,9.487876146023252,-2.2142974355881804
1,451.73,519.83,71,0.34,4,5.4902071347025485,-0.8960553845713317
1,402.69800000000004,453.546,68,0.34,5,9.989779725661132,3.0584514217013505
1,404.06,580.212,67,0.34,5,13.15731689989937,-2.403777593469332
1,399.06600000000003,256.964,65,0.34,5,14.271113893801607,2.3127435948008133
1,350.488,372.28000000000003,63,0.34,6,13.997336656757373,2.98894332519453
1,321.886,623.796,62,0.34,3,12.31788112333226,2.0701430484750274
1,311.444,108.96000000000001,61,0.34,3,11.318351961449196,3.141592653589793
1,423.128,503.94,69,0.34,5,12.218273980694054,-0.6805212246672123
1,203.846,504.394,38,0.34,1,13.463341920755537,-2.8899026818316074
1,265.59000000000003,619.71,57,0.34,2,6.2857736360253655,0.3671738338182205
1,200.214,621.98,36,0.34,1,,0.04995839572194401
1,100.788,472.16,16,0.34,7,18.05733013276169,-1.0303768265243094
1,101.696,618.802,15,0.34,7,8.321417860061596,-3.0309354324158946
1,100.788,536.174,14,0.34,7,12.259875306305366,-0.6022873461349635
1,100.334,345.494,13,0.34,7,15.001649389506865,0.8076167287241699
1,63.56,512.566,11,0.34,8,1.4271113893801493,0.0
1,57.204,303.726,10,0.34,8,13.725517836756417,-2.5672878234150907
1,103.96600000000001,585.206,17,0.34,7,16.703910551864958,2.8318897090473367
1,51.756,414.502,9,0.34,8,4.160708930030785,0.0
1,49.486000000000004,504.848,7,0.34,8,4.984685787080505,0.4048917862850861
1,20.43,510.75,6,0.34,0,15.370460059901736,2.4668517113662407
1,19.976,543.892,5,0.34,0,0.6382236156236065,-1.3258176636680579
1,19.522000000000002,155.722,4,0.34,0,8.957895319623022,-2.896613990462929
1,15.89,71.278,3,0.34,0,8.762510416383913,-3.024483909022929
1,202.93800000000002,485.326,37,0.34,1,15.7952286282306,-2.5636907166275473
1,49.940000000000005,612.9,8,0.34,8,12.218273980693999,-0.6327488350021789
1,106.69,384.084,19,0.34,7,0.638223615623654,-1.3045442776439782
1,12.712,443.558,2,0.34,0,11.209866851216471,-0.9600703624056883
1,162.98600000000002,562.052,4909,0.34,9,5.508723906106476,2.922923707715852
1,201.576,466.712,35,0.34,1,11.811448423557266,0.04995839572194401
1,170.25,528.456,34,0.34,9,13.087475149105417,-2.1293956421384586
1,171.15800000000002,588.838,33,0.34,9,12.218273980694,-3.0890095919788507
1,168.888,478.516,31,0.34,9,11.923001084264012,-2.9275319700259708
1,107.598,421.766,20,0.34,7,3.8821626950669534,-0.26060239174734123
1,149.82,418.134,28,0.34,9,17.606182461673068,2.6451699001849125
1,121.672,568.862,26,0.34,7,10.564480635122624,3.041924001098631
1,120.76400000000001,399.974,25,0.34,7,9.969371574161062,-1.1071487177940842
1,118.494,313.26,24,0.34,7,0.45129224652088235,-1.2924966677897805
1,118.494,381.814,23,0.34,7,8.479011510474564,2.393214606066275
1,115.316,543.438,22,0.34,7,13.118561832210434,0.4939413689195778
1,108.506,448.552,21,0.34,7,13.180515243331305,-0.7188299996216245
1,122.126,554.3340000000001,27,0.34,7,13.997336656757428,0.7266423406817247
1,164.348,573.856,17610,0.34,9,6.334188525664667,-0.3906070436976883
2,249.246,560.236,52,0.67,2,16.75261010287246,2.8706458032513718
2,253.33200000000002,621.98,53,0.67,2,9.204591885372281,1.3734007669450128
2,205.208,366.832,39,0.67,1,11.567527933521305,-2.2142974355881804
2,262.41200000000003,361.838,58,0.67,2,13.46334192075557,-0.1911844595970128
2,266.498,621.072,57,0.67,2,,0.3671738338182205
2,262.41200000000003,169.796,55,0.67,2,16.752610102872435,2.8198420991931523
2,251.51600000000002,544.8000000000001,51,0.67,2,16.27157335050354,-2.7744188197715727
2,203.392,480.786,37,0.67,1,15.646244262038392,-2.5636907166275473
2,218.374,438.564,49,0.67,1,10.467645588774193,-2.9275319700259734
