Frame,Position Y,Position X,ID,Time,Canal,Velocidad,Dist_Closest,Dist_derecha,Dist_izquierda,Vecino_der,Vecino_izq,Agrupada,Distancia_adelante,Tren_ID
1,-1.9385800000000004,303.272,1,0.37,0,18.422001803426518,19.976,19.976,inf,2,,True,19.976,1
1,175.66622,85.352,21,0.37,9,28.247069431920632,123.03399999999999,123.03399999999999,inf,19,,False,123.03399999999999,21
1,496.98018,572.948,93,0.37,25,23.334535617673826,21.33800000000008,21.33800000000008,inf,95,,True,21.33800000000008,93
1,-2.6468200000000004,323.248,2,0.37,0,19.650135256988307,19.976,inf,19.976,,1,True,inf,1
1,206.39748,525.278,24,0.37,11,11.053201082055942,inf,inf,inf,,,False,inf,24
1,158.446,451.73,18,0.37,8,27.018935978358883,inf,inf,inf,,,False,inf,18
1,110.24936000000001,81.266,14,0.37,6,22.106402164111806,14.528000000000006,19.067999999999998,14.528000000000006,15,13,True,19.067999999999998,13
1,465.09122,380.452,92,0.37,24,12.281334535617729,303.272,inf,303.272,,91,False,inf,92
1,303.91214,107.144,81,0.37,16,33.159603246167705,inf,inf,inf,,,False,inf,81
1,126.97018,300.548,16,0.37,7,13.509467989179518,22.69999999999999,22.69999999999999,inf,17,,True,22.69999999999999,16
1,174.46766,419.49600000000004,20,0.37,9,18.422001803426518,172.974,172.974,211.11000000000004,22,19,False,172.974,20
1,239.9163,108.96000000000001,27,0.37,12,-28.24706943192067,277.394,277.394,inf,26,,False,inf,27
1,465.6905,77.18,91,0.37,24,11.053201082055903,303.272,303.272,inf,92,,False,303.272,91
1,173.4734,592.47,22,0.37,9,24.562669071235458,172.974,inf,172.974,,20,False,inf,22
1,126.28918000000002,323.248,17,0.37,7,13.509467989179518,22.69999999999999,inf,22.69999999999999,,16,True,inf,16
1,416.95814,379.54400000000004,89,0.37,21,22.106402164111728,inf,inf,inf,,,False,inf,89
1,336.37768000000005,39.498000000000005,82,0.37,18,27.018935978358883,359.11400000000003,359.11400000000003,inf,85,,False,359.11400000000003,82
1,449.38736,126.66600000000001,96,0.37,23,3.68440036068525,inf,inf,inf,,,False,inf,96
1,77.93364,254.69400000000002,12,0.37,5,29.47520288548246,inf,inf,inf,,,False,inf,12
1,272.23656,208.386,33,0.37,14,15.965734896303017,inf,inf,inf,,,False,inf,33
1,175.53456,208.386,19,0.37,9,15.965734896303017,123.03399999999999,211.11000000000004,123.03399999999999,20,21,False,211.11000000000004,19
1,255.60653999999997,270.584,30,0.37,13,22.106402164111884,35.865999999999985,35.865999999999985,79.904,31,29,False,35.865999999999985,30
1,336.33682000000005,398.612,85,0.37,18,22.106402164111728,359.11400000000003,inf,359.11400000000003,,82,False,inf,85
1,29.02422,448.552,10,0.37,2,17.19386834986473,20.884000000000015,inf,20.884000000000015,,9,True,inf,9
1,239.51224,386.354,26,0.37,12,9.825067628494153,231.08600000000007,231.08600000000007,277.394,25,27,False,231.08600000000007,26
1,14.046759999999999,40.406,0,0.37,1,23.334535617673595,160.716,160.716,inf,3,,False,160.716,0
1,14.06946,224.276,4,0.37,1,14.73760144274123,18.159999999999997,18.159999999999997,23.153999999999996,5,3,True,18.159999999999997,3
1,111.46608,66.738,13,0.37,6,19.650135256988268,14.528000000000006,14.528000000000006,inf,14,,True,14.528000000000006,13
1,46.566779999999994,250.608,7,0.37,3,14.737601442741152,164.80200000000002,189.772,164.80200000000002,11,6,False,189.772,7
1,110.44004000000001,100.334,15,0.37,6,22.106402164111806,19.067999999999998,inf,19.067999999999998,,14,True,inf,13
1,288.11748,116.678,79,0.37,15,27.018935978358922,397.25,397.25,inf,83,,False,397.25,79
1,29.269379999999998,427.668,9,0.37,2,18.422001803426518,20.884000000000015,20.884000000000015,inf,10,,True,20.884000000000015,9
1,14.291920000000001,201.122,3,0.37,1,9.825067628494153,23.153999999999996,23.153999999999996,160.716,4,0,True,23.153999999999996,3
1,255.67010000000002,322.34000000000003,32,0.37,13,22.106402164111728,15.890000000000043,inf,15.890000000000043,,31,True,inf,31
1,497.64756,594.2860000000001,95,0.37,25,29.475202885482304,21.33800000000008,inf,21.33800000000008,,93,True,inf,93
1,255.7155,190.68,29,0.37,13,17.19386834986473,18.614000000000004,79.904,18.614000000000004,30,28,True,79.904,28
1,44.8325,440.38,11,0.37,3,25.790802524797094,189.772,inf,189.772,,7,False,inf,11
1,238.1911,617.44,25,0.37,12,13.50946798917921,231.08600000000007,inf,231.08600000000007,,26,False,inf,25
1,190.80712,509.84200000000004,23,0.37,10,20.878268710550095,inf,inf,inf,,,False,inf,23
1,12.285240000000002,499.85400000000004,8,0.37,1,22.106402164111728,257.418,inf,257.418,,5,False,inf,8
1,433.35662,112.592,90,0.37,22,11.053201082055903,inf,inf,inf,,,False,inf,90
1,367.84442,598.3720000000001,87,0.37,20,23.334535617673517,inf,inf,inf,,,False,inf,87
1,13.797059999999998,242.436,5,0.37,1,11.053201082055942,18.159999999999997,257.418,18.159999999999997,8,4,True,257.418,3
1,46.28076,85.806,6,0.37,3,18.422001803426518,164.80200000000002,164.80200000000002,inf,7,,False,164.80200000000002,6
1,287.54998,513.928,83,0.37,15,19.650135256988307,397.25,inf,397.25,,79,False,inf,83
1,255.98336,172.066,28,0.37,13,19.650135256988307,18.614000000000004,18.614000000000004,inf,29,,True,18.614000000000004,28
1,255.51120000000003,306.45,31,0.37,13,19.650135256988307,15.890000000000043,15.890000000000043,35.865999999999985,32,30,True,15.890000000000043,31
2,239.14904,622.434,25,0.74,12,1.2281334535619426,232.44799999999998,inf,232.44799999999998,,26,False,inf,25
2,304.03472000000005,119.402,81,0.74,16,25.790802524797144,inf,inf,inf,,,False,inf,81
2,28.88348,434.478,9,0.74,2,17.193868349864736,20.430000000000007,20.430000000000007,inf,10,,True,20.430000000000007,9
2,255.68825999999999,278.75600000000003,30,0.74,13,19.65013525698816,34.95799999999997,34.95799999999997,81.72000000000003,31,29,False,34.95799999999997,30
2,465.13662,384.992,92,0.74,24,12.281334535617734,303.726,inf,303.726,,91,False,inf,92
2,28.17978,454.908,10,0.74,2,18.422001803426525,20.430000000000007,inf,20.430000000000007,,9,True,inf,9
2,46.34886,92.616,6,0.74,3,22.106402164111817,163.44,163.44,inf,7,,False,163.44,6
2,126.33912000000001,328.242,17,0.74,7,7.3688007213705795,22.69999999999999,inf,22.69999999999999,,16,True,inf,16
2,158.54588,461.718,18,0.74,8,19.650135256988314,inf,inf,inf,,,False,inf,18
2,206.43834,529.364,24,0.74,11,15.965734896302795,inf,inf,inf,,,False,inf,24
2,432.94348,116.678,90,0.74,22,11.053201082055946,inf,inf,inf,,,False,inf,90
2,367.93068,606.998,87,0.74,20,22.10640216411189,inf,inf,inf,,,False,inf,87
2,255.29782000000003,330.512,32,0.74,13,19.650135256988314,16.798000000000002,inf,16.798000000000002,,31,True,inf,31
2,110.33108000000001,89.438,14,0.74,6,22.106402164111817,15.436000000000007,19.067999999999998,15.436000000000007,15,13,True,19.067999999999998,13
2,240.26588,98.518,27,0.74,12,-13.509467989179447,291.46799999999996,291.46799999999996,inf,26,,False,inf,27
2,497.06644,581.5740000000001,93,0.74,25,29.475202885482318,23.607999999999947,23.607999999999947,inf,95,,True,23.607999999999947,93
2,13.21594,229.72400000000002,4,0.74,1,7.3688007213705795,16.798000000000002,16.798000000000002,24.97,5,3,True,16.798000000000002,3
