Frame,Position Y,Position X,ID,Time,Canal,Velocidad,Dist_Closest,Dist_derecha,Dist_izquierda,Vecino_der,Vecino_izq,Agrupada,Distancia_adelante,Tren_ID
1,117.96282000000001,198.398,11,0.37,3,-15.96573489630294,25.877999999999986,inf,25.877999999999986,,26,True,25.877999999999986,24
1,198.65678,262.866,48,0.37,4,-7.368800721370576,8.171999999999969,20.430000000000007,8.171999999999969,51,46,True,8.171999999999969,42
1,502.86856,594.74,109,0.37,20,-11.053201082055942,inf,inf,inf,,,False,inf,109
1,117.77214,159.354,25,0.37,3,-8.596934174932365,13.165999999999997,13.165999999999997,24.062000000000012,26,24,True,24.062000000000012,24
1,263.55608,51.756,58,0.37,7,-9.825067628494134,7.264000000000003,7.264000000000003,inf,59,,True,inf,58
1,247.00778000000003,330.966,55,0.37,6,0.0,15.435999999999979,inf,15.435999999999979,,54,True,,53
1,326.92086,406.33000000000004,70,0.37,10,-7.3688007213707305,inf,inf,inf,,,False,inf,70
1,118.04,135.292,24,0.37,3,-9.825067628494153,24.062000000000012,24.062000000000012,111.684,25,22,True,111.684,24
1,375.99826,556.15,75,0.37,13,-9.825067628493999,439.018,inf,439.018,,74,False,439.018,75
1,247.92486,315.53000000000003,54,0.37,6,3.684400360685211,15.435999999999979,15.435999999999979,20.884000000000015,55,53,True,15.435999999999979,53
1,4.839639999999998,624.7040000000001,89,0.37,0,,16.798000000000002,inf,16.798000000000002,,90,True,,91
1,424.06324,179.784,81,0.37,16,-4.912533814246999,inf,inf,inf,,,False,inf,81
1,215.77258,585.206,44,0.37,5,-9.825067628493999,38.13599999999997,inf,38.13599999999997,,43,False,38.13599999999997,44
1,295.35878,308.266,62,0.37,8,13.509467989179365,inf,inf,inf,,,False,inf,62
1,312.41102,511.658,66,0.37,9,13.509467989179518,17.706000000000017,19.522000000000048,17.706000000000017,67,65,True,19.522000000000048,64
1,101.60066,47.67,13,0.37,2,15.96573489630298,9.988,9.988,inf,10,,True,9.988,13
1,102.13184000000001,75.364,4,0.37,2,15.96573489630298,17.706000000000003,302.36400000000003,17.706000000000003,3,10,True,302.36400000000003,13
1,85.37016,149.82,6,0.37,1,1.2281334535617883,inf,inf,inf,,,False,inf,6
1,117.83116000000001,172.52,26,0.37,3,-7.368800721370653,13.165999999999997,25.877999999999986,13.165999999999997,11,25,True,13.165999999999997,24
1,247.22116,172.52,45,0.37,6,4.912533814247077,122.126,122.126,inf,53,,False,122.126,45
